GLOBAL_UID,CCF_UID,COGNITIVE_CHALLENGE_FAMILY_NUMBER,COGNITIVE_CHALLENGE_FAMILY,COGNITIVE_CHALLENGE_NUMBER,COGNITIVE_CHALLENGE_FULL,COGNITIVE_CHALLENGE,TECHNOLOGY_NUMBER,TECHNOLOGY,VALUE,binary,weighted
124,124,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,9,Physiological monitors,0,0,0
125,125,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,10,Physical virtual reality control interfaces,1,1,1
126,126,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,11,Smart clothing and other wearables,0,0,0
127,127,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,12,Telepresence equipment,1,1,3
128,128,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,13,Speech-based interfaces,1,1,1
129,129,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,14,Vehicle controls,0,0,0
130,130,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,15,Robot controller interfaces,0,0,0
131,131,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,16,Exoskeletons,0,0,0
132,132,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,17,Body-integrated interfaces,1,1,1
133,133,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,18,Smart home devices,0,0,0
134,134,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,19,Rapid 3D modelling,1,1,2
135,135,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,20,Haptic feedback equipment,0,0,0
136,136,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,21,Physical/tactile displays,1,1,3
137,137,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,22,Visual/light indicators,0,0,0
138,138,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,23,1D visual displays,1,1,3
139,139,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,24,3D visual displays,1,1,3
140,140,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,25,Virtual reality headsets,1,1,3
141,141,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,26,Augmented reality glasses,1,1,3
142,142,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,27,Audio indicators,1,1,1
143,143,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,28,Brain computer interface,1,1,1
144,144,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.5,"Countering weaponised disease / genetic / pathogen weapons will present as a biological challenge, but will probably find expression as a social challenge requiring extensive collaboration with civilian authorities.",Countering biological weapons,29,Olfactory interfaces,1,1,3
145,145,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.6,"Interoperability and collaboration with other militaries (recognised state, non-state and possibly even corporate / private).",Interoperation with partners,1,Touchscreens,0,0,0
146,146,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.6,"Interoperability and collaboration with other militaries (recognised state, non-state and possibly even corporate / private).",Interoperation with partners,2,Touch-interactive large objects,0,0,0
147,147,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.6,"Interoperability and collaboration with other militaries (recognised state, non-state and possibly even corporate / private).",Interoperation with partners,3,Gesture and movement sensors,1,1,1
148,148,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.6,"Interoperability and collaboration with other militaries (recognised state, non-state and possibly even corporate / private).",Interoperation with partners,4,Handheld controllers,0,0,0
149,149,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.6,"Interoperability and collaboration with other militaries (recognised state, non-state and possibly even corporate / private).",Interoperation with partners,5,Keyboard and text input devices,1,1,1
150,150,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.6,"Interoperability and collaboration with other militaries (recognised state, non-state and possibly even corporate / private).",Interoperation with partners,6,Drawing or writing implements,1,1,1
151,151,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.6,"Interoperability and collaboration with other militaries (recognised state, non-state and possibly even corporate / private).",Interoperation with partners,7,Image recognition cameras,0,0,0
152,152,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.6,"Interoperability and collaboration with other militaries (recognised state, non-state and possibly even corporate / private).",Interoperation with partners,8,Eye tracking equipment,0,0,0
153,153,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.6,"Interoperability and collaboration with other militaries (recognised state, non-state and possibly even corporate / private).",Interoperation with partners,9,Physiological monitors,0,0,0
154,154,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.6,"Interoperability and collaboration with other militaries (recognised state, non-state and possibly even corporate / private).",Interoperation with partners,10,Physical virtual reality control interfaces,0,0,0
155,155,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.6,"Interoperability and collaboration with other militaries (recognised state, non-state and possibly even corporate / private).",Interoperation with partners,11,Smart clothing and other wearables,0,0,0
156,156,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.6,"Interoperability and collaboration with other militaries (recognised state, non-state and possibly even corporate / private).",Interoperation with partners,12,Telepresence equipment,1,1,1
157,157,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.6,"Interoperability and collaboration with other militaries (recognised state, non-state and possibly even corporate / private).",Interoperation with partners,13,Speech-based interfaces,1,1,1
158,158,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.6,"Interoperability and collaboration with other militaries (recognised state, non-state and possibly even corporate / private).",Interoperation with partners,14,Vehicle controls,0,0,0
159,159,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.6,"Interoperability and collaboration with other militaries (recognised state, non-state and possibly even corporate / private).",Interoperation with partners,15,Robot controller interfaces,0,0,0
160,160,FAMILY1,1. Collaboration with varied actors (state/nonstate/corporate/NGOs),1.6,"Interoperability and collaboration with other militaries (recognised state, non-state and possibly even corporate / private).",Interoperation with partners,16,Exoskeletons,0,0,0
